dataset_id,correlation,F1_branches,geometric_mean,him,time
synthetic-dyntoy-linear_5,NA,NA,0,NA,0
synthetic-dyntoy-linear_6,NA,NA,0,NA,0
synthetic-dyntoy-linear_7,NA,NA,0,NA,0
synthetic-dyntoy-linear_8,NA,NA,0,NA,0
synthetic-dyntoy-linear_9,NA,NA,0,NA,0
synthetic-dyntoy-looping_1,NA,NA,0,NA,0
synthetic-dyntoy-looping_10,NA,NA,0,NA,0
synthetic-dyntoy-looping_2,NA,NA,0,NA,0
synthetic-dyntoy-looping_3,NA,NA,0,NA,0
synthetic-dyntoy-looping_4,NA,NA,0,NA,0
synthetic-dyntoy-looping_5,NA,NA,0,NA,0
synthetic-dyntoy-looping_6,NA,NA,0,NA,0
synthetic-dyntoy-looping_7,NA,NA,0,NA,0
synthetic-dyntoy-looping_8,NA,NA,0,NA,0
synthetic-dyntoy-looping_9,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_1,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_10,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_2,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_3,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_4,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_5,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_6,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_7,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_8,NA,NA,0,NA,0
synthetic-dyntoy-multifurcating_9,NA,NA,0,NA,0
synthetic-dyntoy-tree_1,NA,NA,0,NA,0
synthetic-dyntoy-tree_10,NA,NA,0,NA,0
synthetic-dyntoy-tree_2,NA,NA,0,NA,0
synthetic-dyntoy-tree_3,NA,NA,0,NA,0
synthetic-dyntoy-tree_4,NA,NA,0,NA,0
synthetic-dyntoy-tree_5,NA,NA,0,NA,0
synthetic-dyntoy-tree_6,NA,NA,0,NA,0
synthetic-dyntoy-tree_7,NA,NA,0,NA,0
synthetic-dyntoy-tree_8,NA,NA,0,NA,0
synthetic-dyntoy-tree_9,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_1,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_2,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_3,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_4,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_5,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_6,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_7,NA,NA,0,NA,0
synthetic-prosstt-bifurcating_8,NA,NA,0,NA,0
synthetic-prosstt-binary_tree_1,NA,NA,0,NA,0
synthetic-prosstt-binary_tree_3,NA,NA,0,NA,0
synthetic-prosstt-binary_tree_6,NA,NA,0,NA,0
synthetic-prosstt-linear_1,NA,NA,0,NA,0
synthetic-prosstt-linear_3,NA,NA,0,NA,0
synthetic-prosstt-linear_6,NA,NA,0,NA,0
synthetic-prosstt-multifurcating_3,NA,NA,0,NA,0
synthetic-prosstt-multifurcating_6,NA,NA,0,NA,0
synthetic-prosstt-tree_1,NA,NA,0,NA,0
synthetic-prosstt-tree_3,NA,NA,0,NA,0
synthetic-prosstt-tree_6,NA,NA,0,NA,0
synthetic-splatter-bifurcating_1,NA,NA,0,NA,0
synthetic-splatter-bifurcating_10,NA,NA,0,NA,0
synthetic-splatter-bifurcating_2,NA,NA,0,NA,0
synthetic-splatter-bifurcating_3,NA,NA,0,NA,0
synthetic-splatter-bifurcating_4,NA,NA,0,NA,0
synthetic-splatter-bifurcating_5,NA,NA,0,NA,0
synthetic-splatter-bifurcating_7,NA,NA,0,NA,0
synthetic-splatter-binary_tree_1,NA,NA,0,NA,0
synthetic-splatter-binary_tree_10,NA,NA,0,NA,0
synthetic-splatter-binary_tree_2,NA,NA,0,NA,0
synthetic-splatter-binary_tree_3,NA,NA,0,NA,0
synthetic-splatter-binary_tree_4,NA,NA,0,NA,0
synthetic-splatter-binary_tree_5,NA,NA,0,NA,0
synthetic-splatter-binary_tree_7,NA,NA,0,NA,0
synthetic-splatter-linear_1,NA,NA,0,NA,0
synthetic-splatter-linear_10,NA,NA,0,NA,0
synthetic-splatter-linear_2,NA,NA,0,NA,0
synthetic-splatter-linear_3,NA,NA,0,NA,0
synthetic-splatter-linear_4,NA,NA,0,NA,0
synthetic-splatter-linear_5,NA,NA,0,NA,0
synthetic-splatter-linear_7,NA,NA,0,NA,0
synthetic-splatter-multifurcating_1,NA,NA,0,NA,0
synthetic-splatter-multifurcating_10,NA,NA,0,NA,0
synthetic-splatter-multifurcating_2,NA,NA,0,NA,0
synthetic-splatter-multifurcating_3,NA,NA,0,NA,0
synthetic-splatter-multifurcating_4,NA,NA,0,NA,0
synthetic-splatter-multifurcating_5,NA,NA,0,NA,0
synthetic-splatter-multifurcating_7,NA,NA,0,NA,0
synthetic-splatter-tree_1,NA,NA,0,NA,0
synthetic-splatter-tree_10,NA,NA,0,NA,0
synthetic-splatter-tree_2,NA,NA,0,NA,0
synthetic-splatter-tree_3,NA,NA,0,NA,0
synthetic-splatter-tree_4,NA,NA,0,NA,0
synthetic-splatter-tree_5,NA,NA,0,NA,0
synthetic-splatter-tree_7,NA,NA,0,NA,0
